Time,Open,High,Low,Last,Change,Volume,"Open Int"
"12/24/2020 12:14",12704.5,12704.75,12700,12703,-0.5,158,N/A
"12/24/2020 12:13",12703.75,12704.75,12701.25,12703.5,-0.25,145,N/A
"12/24/2020 12:12",12703.5,12703.75,12702.25,12703.75,0.5,61,N/A
"12/24/2020 12:11",12702.75,12704,12702.5,12703.25,0.75,76,N/A
"12/24/2020 12:10",12701.75,12704,12701.5,12702.5,0.75,127,N/A
"12/24/2020 12:09",12702,12703,12701.5,12701.75,-0.5,106,N/A
"12/24/2020 12:08",12700.75,12702.25,12699.75,12702.25,1.75,174,N/A
"12/24/2020 12:07",12700.75,12702.25,12699.25,12700.5,-0.5,263,N/A
"12/24/2020 12:06",12707.75,12708,12701,12701,-6.5,207,N/A
"12/24/2020 12:05",12703.5,12708.75,12703.5,12707.5,3.75,337,N/A
"12/24/2020 12:04",12704.25,12706.25,12703.25,12703.75,-0.75,217,N/A
"12/24/2020 12:03",12702,12704.75,12700,12704.5,2,317,N/A
"12/24/2020 12:02",12703.5,12704.25,12699.75,12702.5,-0.75,637,N/A
"12/24/2020 12:01",12704.25,12706.75,12702.5,12703.25,-0.75,447,N/A
"12/24/2020 12:00",12704,12705.5,12697.5,12704,0.25,1139,N/A
"12/24/2020 11:59",12704,12706.5,12701.25,12703.75,0,1140,N/A
"12/24/2020 11:58",12698.75,12705,12698.75,12703.75,5.25,645,N/A
"12/24/2020 11:57",12698,12700.25,12696,12698.5,0.75,319,N/A
"12/24/2020 11:56",12696.5,12699.25,12696,12697.75,2.25,273,N/A
"12/24/2020 11:55",12695.5,12699,12693,12695.5,1,378,N/A
"12/24/2020 11:54",12696,12696.75,12693.25,12694.5,-1,205,N/A
"12/24/2020 11:53",12697.25,12697.75,12693.5,12695.5,-1.5,222,N/A
"12/24/2020 11:52",12695.25,12698.5,12693.75,12697,1.75,282,N/A
"12/24/2020 11:51",12704,12704,12692.75,12695.25,-9.25,639,N/A
"12/24/2020 11:50",12697.75,12707,12697.75,12704.5,6.75,1317,N/A
"12/24/2020 11:49",12693.25,12698.5,12692,12697.75,4.75,595,N/A
"12/24/2020 11:48",12692,12693.25,12689.75,12693,1.5,274,N/A
"12/24/2020 11:47",12690.5,12692.25,12688.25,12691.5,1,337,N/A
"12/24/2020 11:46",12690.75,12694.5,12689.25,12690.5,-0.25,541,N/A
"12/24/2020 11:45",12688,12691.5,12686.25,12690.75,3,416,N/A
"12/24/2020 11:44",12688.25,12689.25,12686.25,12687.75,-0.25,244,N/A
"12/24/2020 11:43",12686.25,12689.25,12683.25,12688,2.25,321,N/A
"12/24/2020 11:42",12686.5,12688.75,12685.25,12685.75,-1.25,268,N/A
"12/24/2020 11:41",12683.75,12687,12682,12687,3.25,308,N/A
"12/24/2020 11:40",12685.5,12686.5,12682.5,12683.75,-2,206,N/A
"12/24/2020 11:39",12684.75,12688,12682.25,12685.75,1,418,N/A
"12/24/2020 11:38",12687,12690.75,12684.75,12684.75,-2.25,346,N/A
"12/24/2020 11:37",12689.25,12689.5,12685,12687,-2.5,244,N/A
"12/24/2020 11:36",12689,12690.25,12686.5,12689.5,0.5,281,N/A
"12/24/2020 11:35",12691,12692.5,12686,12689,-2,471,N/A
"12/24/2020 11:34",12688.75,12693.5,12688.5,12691,2,552,N/A
"12/24/2020 11:33",12688.25,12691.5,12686.75,12689,1.25,315,N/A
"12/24/2020 11:32",12687,12690,12685,12687.75,0.75,353,N/A
"12/24/2020 11:31",12687.5,12689,12686,12687,-0.25,313,N/A
"12/24/2020 11:30",12689.25,12691,12684.5,12687.25,-1.75,485,N/A
"12/24/2020 11:29",12684,12690,12684,12689,5,675,N/A
"12/24/2020 11:28",12683.25,12685,12680.75,12684,0,212,N/A
"12/24/2020 11:27",12684.75,12685,12681.5,12684,-0.5,239,N/A
"12/24/2020 11:26",12682.75,12684.75,12681,12684.5,0.75,468,N/A
"12/24/2020 11:25",12675.75,12685,12675,12683.75,7.25,662,N/A
"12/24/2020 11:24",12672.25,12676.5,12671.25,12676.5,4.5,314,N/A
"12/24/2020 11:23",12669,12674.5,12668.25,12672,2.75,310,N/A
"12/24/2020 11:22",12671,12673,12665.5,12669.25,-2.25,419,N/A
"12/24/2020 11:21",12673.5,12674.75,12670,12671.5,-2.5,286,N/A
"12/24/2020 11:20",12672.75,12677.75,12671,12674,0.5,368,N/A
"12/24/2020 11:19",12673.25,12675.75,12672.5,12673.5,0.25,258,N/A
"12/24/2020 11:18",12672.5,12676.75,12669.25,12673.25,0.5,397,N/A
"12/24/2020 11:17",12677.75,12678.25,12671.5,12672.75,-4.75,405,N/A
"12/24/2020 11:16",12681.25,12681.5,12676.5,12677.5,-4,324,N/A
"12/24/2020 11:15",12685.25,12685.75,12679.75,12681.5,-3.75,417,N/A
"12/24/2020 11:14",12686.25,12687,12683,12685.25,-1,332,N/A
"12/24/2020 11:13",12683.5,12686.5,12683.5,12686.25,2.5,375,N/A
"12/24/2020 11:12",12679.75,12684.5,12679.25,12683.75,4.25,519,N/A
"12/24/2020 11:11",12676.75,12680.25,12675,12679.5,3,413,N/A
"12/24/2020 11:10",12672.5,12678.5,12672.25,12676.5,4,432,N/A
"12/24/2020 11:09",12672,12676.25,12670.75,12672.5,0.75,409,N/A
"12/24/2020 11:08",12668.75,12673.5,12668.75,12671.75,2.75,447,N/A
"12/24/2020 11:07",12667.25,12669.25,12666,12669,1.25,501,N/A
"12/24/2020 11:06",12666.75,12669.25,12666.25,12667.75,0.75,465,N/A
"12/24/2020 11:05",12667.75,12670.5,12666.25,12667,-0.75,442,N/A
"12/24/2020 11:04",12667.5,12668,12664,12667.75,0.25,788,N/A
"12/24/2020 11:03",12671.25,12671.5,12667.5,12667.5,-3.25,336,N/A
"12/24/2020 11:02",12678,12678,12666.5,12670.75,-7.5,698,N/A
"12/24/2020 11:01",12677.75,12679.25,12676.75,12678.25,0.5,292,N/A
"12/24/2020 11:00",12678,12678.25,12675.25,12677.75,-0.25,362,N/A
"12/24/2020 10:59",12676.25,12678,12674.25,12678,2.25,260,N/A
"12/24/2020 10:58",12676.75,12677.75,12674.5,12675.75,-0.75,287,N/A
"12/24/2020 10:57",12676,12677.25,12674.5,12676.5,1,212,N/A
"12/24/2020 10:56",12676.5,12676.75,12672.25,12675.5,-1.25,296,N/A
"12/24/2020 10:55",12677.5,12678.5,12674,12676.75,-1,310,N/A
"12/24/2020 10:54",12678,12678.75,12672.75,12677.75,0.25,427,N/A
"12/24/2020 10:53",12674.75,12678.25,12674,12677.5,2.75,516,N/A
"12/24/2020 10:52",12670,12675.5,12665,12674.75,4.75,809,N/A
"12/24/2020 10:51",12673.5,12675.25,12669.5,12670,-3.75,408,N/A
"12/24/2020 10:50",12675.5,12677.25,12672.25,12673.75,-1.5,334,N/A
"12/24/2020 10:49",12675.25,12677,12673.75,12675.25,0,284,N/A
"12/24/2020 10:48",12678,12679,12674,12675.25,-2.5,386,N/A
"12/24/2020 10:47",12680.25,12680.75,12677.5,12677.75,-2.25,424,N/A
"12/24/2020 10:46",12683,12683.5,12679.25,12680,-3,395,N/A
"12/24/2020 10:45",12683,12686.25,12681.75,12683,0.25,276,N/A
"12/24/2020 10:44",12686.75,12687.25,12682.25,12682.75,-3.5,225,N/A
"12/24/2020 10:43",12683.75,12687.25,12682.5,12686.25,3,218,N/A
"12/24/2020 10:42",12685,12688.75,12682.75,12683.25,-1.75,339,N/A
"12/24/2020 10:41",12685,12687.25,12684.25,12685,0.25,222,N/A
"12/24/2020 10:40",12685,12687.25,12683.75,12684.75,-0.25,380,N/A
"12/24/2020 10:39",12687,12687.25,12682.5,12685,-1.75,245,N/A
"12/24/2020 10:38",12683.5,12688,12681,12686.75,3,437,N/A
"12/24/2020 10:37",12685.25,12685.75,12681,12683.75,-2,315,N/A
"12/24/2020 10:36",12688.25,12688.25,12684.5,12685.75,-2.25,288,N/A
"12/24/2020 10:35",12688,12689.5,12684.75,12688,0,490,N/A
"12/24/2020 10:34",12682.5,12688.25,12682,12688,5.25,498,N/A
"12/24/2020 10:33",12682.5,12683.5,12677.75,12682.75,0.25,383,N/A
"12/24/2020 10:32",12678,12683,12677.75,12682.5,4.25,592,N/A
"12/24/2020 10:31",12678,12680,12676.5,12678.25,0.5,514,N/A
"12/24/2020 10:30",12673.75,12678,12671,12677.75,4,1095,N/A
"12/24/2020 10:29",12676.5,12676.5,12672,12673.75,-3,686,N/A
"12/24/2020 10:28",12679.25,12680.5,12672,12676.75,-2.5,1080,N/A
"12/24/2020 10:27",12684,12684,12678.25,12679.25,-4.75,749,N/A
"12/24/2020 10:26",12685.5,12685.5,12682.25,12684,-1.25,231,N/A
"12/24/2020 10:25",12681.5,12688.5,12679.25,12685.25,4,621,N/A
"12/24/2020 10:24",12687.25,12688,12680,12681.25,-5.75,702,N/A
"12/24/2020 10:23",12689.5,12689.5,12685.5,12687,-2.5,516,N/A
"12/24/2020 10:22",12692.25,12693,12688,12689.5,-3.25,399,N/A
"12/24/2020 10:21",12693.5,12694.5,12689.25,12692.75,-0.5,466,N/A
"12/24/2020 10:20",12686,12695.25,12686,12693.25,7.25,823,N/A
"12/24/2020 10:19",12686.5,12689.25,12686,12686,-1,341,N/A
"12/24/2020 10:18",12685.75,12688,12684,12687,1.5,289,N/A
"12/24/2020 10:17",12687.5,12687.75,12684,12685.5,-1.5,379,N/A
"12/24/2020 10:16",12689.75,12690.75,12685,12687,-2.75,541,N/A
"12/24/2020 10:15",12686.5,12690.25,12686.5,12689.75,3,268,N/A
"12/24/2020 10:14",12689,12690.25,12685.75,12686.75,-2.75,420,N/A
"12/24/2020 10:13",12690.5,12693,12688.5,12689.5,-1,516,N/A
"12/24/2020 10:12",12686.75,12691.5,12683.75,12690.5,4,646,N/A
"12/24/2020 10:11",12684,12688,12681.5,12686.5,2.25,500,N/A
"12/24/2020 10:10",12684.75,12685.75,12681.75,12684.25,-0.75,351,N/A
"12/24/2020 10:09",12683.25,12685.25,12681.25,12685,1,335,N/A
"12/24/2020 10:08",12683.25,12686.25,12681,12684,0.5,522,N/A
"12/24/2020 10:07",12686.5,12686.75,12681.5,12683.5,-2.75,767,N/A
"12/24/2020 10:06",12688.75,12691.75,12685,12686.25,-2.75,423,N/A
"12/24/2020 10:05",12693,12693,12687.5,12689,-4,545,N/A
"12/24/2020 10:04",12691.5,12694.25,12690.25,12693,1.5,626,N/A
"12/24/2020 10:03",12688.75,12692,12685.75,12691.5,2.75,751,N/A
