Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"01/31/2020 15:59",9014.5,9015.25,9010.25,9013.25,-1.25,246,N/A
NQH20,"01/31/2020 15:58",9013.75,9014.5,9013,9014.5,1,76,N/A
NQH20,"01/31/2020 15:57",9013.75,9014,9013,9013.5,-0.25,45,N/A
NQH20,"01/31/2020 15:56",9014.25,9014.25,9013,9013.75,-0.25,41,N/A
NQH20,"01/31/2020 15:55",9012.5,9014.75,9012,9014,1.5,90,N/A
NQH20,"01/31/2020 15:54",9013,9013.5,9012.25,9012.5,-0.75,57,N/A
NQH20,"01/31/2020 15:53",9012.5,9013.75,9012.25,9013.25,0.75,102,N/A
NQH20,"01/31/2020 15:52",9012.75,9013,9012.25,9012.5,-0.25,55,N/A
NQH20,"01/31/2020 15:51",9013.25,9013.5,9010.75,9012.75,-0.5,99,N/A
NQH20,"01/31/2020 15:50",9014.75,9015,9013,9013.25,-1,62,N/A
NQH20,"01/31/2020 15:49",9013.5,9014.5,9013.5,9014.25,0.75,105,N/A
NQH20,"01/31/2020 15:48",9013.5,9014.5,9013.25,9013.5,0.75,91,N/A
NQH20,"01/31/2020 15:47",9012,9013.25,9011.75,9012.75,0.75,62,N/A
NQH20,"01/31/2020 15:46",9012,9012.25,9011.75,9012,0.25,60,N/A
NQH20,"01/31/2020 15:45",9011.5,9012,9011,9011.75,0.25,116,N/A
NQH20,"01/31/2020 15:44",9011.25,9012,9011,9011.5,0.25,69,N/A
NQH20,"01/31/2020 15:43",9011.5,9011.75,9011,9011.25,-0.75,123,N/A
NQH20,"01/31/2020 15:42",9012.25,9013,9011.5,9012,-0.25,73,N/A
NQH20,"01/31/2020 15:41",9012.5,9013,9012,9012.25,-0.5,55,N/A
NQH20,"01/31/2020 15:40",9013.75,9015,9012.25,9012.75,0,119,N/A
NQH20,"01/31/2020 15:39",9013.25,9015.75,9012.5,9012.75,-0.5,130,N/A
NQH20,"01/31/2020 15:38",9016.75,9017,9013.25,9013.25,-3,127,N/A
NQH20,"01/31/2020 15:37",9016.25,9017,9016,9016.25,0.25,77,N/A
NQH20,"01/31/2020 15:36",9015.75,9016,9013.5,9016,0.25,158,N/A
NQH20,"01/31/2020 15:35",9015.25,9015.75,9014,9015.75,0.25,88,N/A
NQH20,"01/31/2020 15:34",9014,9017.5,9013.75,9015.5,1.5,231,N/A
NQH20,"01/31/2020 15:33",9013.25,9014,9012.5,9014,0.75,100,N/A
NQH20,"01/31/2020 15:32",9012.75,9014.5,9011.5,9013.25,0.25,110,N/A
