Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQU20,"07/31/2020 15:59",10920,10920.75,10913,10914.25,-6.5,194,N/A
NQU20,"07/31/2020 15:58",10920,10921,10919.25,10920.75,1,43,N/A
NQU20,"07/31/2020 15:57",10918.5,10920.25,10917.75,10919.75,1.25,83,N/A
NQU20,"07/31/2020 15:56",10918.75,10919,10917,10918.5,0,52,N/A
NQU20,"07/31/2020 15:55",10917.25,10919.25,10915,10918.5,1,120,N/A
NQU20,"07/31/2020 15:54",10916.5,10919,10915.75,10917.5,0.5,91,N/A
NQU20,"07/31/2020 15:53",10916.75,10918.75,10915.5,10917,0.25,127,N/A
NQU20,"07/31/2020 15:52",10916.5,10918,10915,10916.75,-0.25,83,N/A
NQU20,"07/31/2020 15:51",10912.5,10917,10912,10917,4.5,148,N/A
NQU20,"07/31/2020 15:50",10911.75,10913.5,10910.75,10912.5,1.5,88,N/A
NQU20,"07/31/2020 15:49",10910.5,10912.25,10909.75,10911,0,139,N/A
NQU20,"07/31/2020 15:48",10909.25,10912.25,10909.25,10911,1.25,119,N/A
NQU20,"07/31/2020 15:47",10909.75,10910.25,10908.75,10909.75,0.75,78,N/A
NQU20,"07/31/2020 15:46",10909.5,10910.5,10908.75,10909,0,91,N/A
NQU20,"07/31/2020 15:45",10910.5,10911,10908.5,10909,-1,118,N/A
NQU20,"07/31/2020 15:44",10908.75,10910.25,10907.5,10910,1,129,N/A
NQU20,"07/31/2020 15:43",10909.25,10910,10909,10909,-0.25,57,N/A
NQU20,"07/31/2020 15:42",10908.75,10910,10907,10909.25,0.75,259,N/A
NQU20,"07/31/2020 15:41",10904.75,10909,10904.25,10908.5,4,224,N/A
NQU20,"07/31/2020 15:40",10904,10905,10903,10904.5,0.5,113,N/A
NQU20,"07/31/2020 15:39",10904,10904.5,10903.75,10904,-0.25,37,N/A
NQU20,"07/31/2020 15:38",10904,10904.5,10903.25,10904.25,0,42,N/A
NQU20,"07/31/2020 15:37",10902.75,10904.5,10902.75,10904.25,1.5,59,N/A
NQU20,"07/31/2020 15:36",10902.75,10903.75,10902.5,10902.75,0.5,53,N/A
NQU20,"07/31/2020 15:35",10902.25,10903,10901.5,10902.25,0.5,67,N/A
NQU20,"07/31/2020 15:34",10902,10904,10901.75,10901.75,-0.5,82,N/A
NQU20,"07/31/2020 15:33",10903.25,10903.75,10902.25,10902.25,0,104,N/A
NQU20,"07/31/2020 15:32",10902.5,10903,10901.75,10902.25,-0.5,30,N/A
NQU20,"07/31/2020 15:31",10901.25,10903.25,10900,10902.75,2.5,120,N/A
NQU20,"07/31/2020 15:30",10902,10904,10900.25,10900.25,-3.25,203,N/A
NQU20,"07/31/2020 15:14",10903.75,10906.25,10902.75,10903.5,0,556,N/A
NQU20,"07/31/2020 15:13",10901.75,10903.75,10897.75,10903.5,2.25,436,N/A
NQU20,"07/31/2020 15:12",10901.25,10902.5,10899.75,10901.25,0,270,N/A
NQU20,"07/31/2020 15:11",10899,10905,10898.75,10901.25,2.75,574,N/A
NQU20,"07/31/2020 15:10",10903.75,10904,10898,10898.5,-5.75,370,N/A
NQU20,"07/31/2020 15:09",10906.5,10908,10902.5,10904.25,-2.5,383,N/A
NQU20,"07/31/2020 15:08",10905.5,10908,10904.25,10906.75,0.5,374,N/A
NQU20,"07/31/2020 15:07",10910,10910.25,10904,10906.25,-3.25,433,N/A
NQU20,"07/31/2020 15:06",10908.75,10911.5,10907,10909.5,1,456,N/A
NQU20,"07/31/2020 15:05",10905.5,10912.25,10904.75,10908.5,3,906,N/A
NQU20,"07/31/2020 15:04",10903.75,10909.5,10901.25,10905.5,1.75,995,N/A
NQU20,"07/31/2020 15:03",10903.75,10905.5,10898.25,10903.75,0.25,514,N/A
NQU20,"07/31/2020 15:02",10906.5,10907,10902.75,10903.5,-3.5,614,N/A
NQU20,"07/31/2020 15:01",10896.75,10913.5,10894.75,10907,10.75,1906,N/A
NQU20,"07/31/2020 15:00",10898,10907.25,10892,10896.25,-1.5,2988,N/A
NQU20,"07/31/2020 14:59",10876.75,10898.25,10876,10897.75,21.25,5262,N/A
NQU20,"07/31/2020 14:58",10876.5,10878.75,10875.75,10876.5,0.25,1050,N/A
NQU20,"07/31/2020 14:57",10874,10878.25,10870.25,10876.25,2.5,1257,N/A
NQU20,"07/31/2020 14:56",10871.75,10874.75,10870,10873.75,2.5,1176,N/A
NQU20,"07/31/2020 14:55",10865.75,10872,10864.5,10871.25,5.5,1352,N/A
NQU20,"07/31/2020 14:54",10856.5,10867,10855,10865.75,9.5,1047,N/A
NQU20,"07/31/2020 14:53",10860.25,10860.25,10854,10856.25,-4.25,1082,N/A
NQU20,"07/31/2020 14:52",10855.25,10862.25,10854.75,10860.5,5,808,N/A
NQU20,"07/31/2020 14:51",10862.5,10863,10851.25,10855.5,-7.25,1359,N/A
NQU20,"07/31/2020 14:50",10866.5,10876.5,10856.75,10862.75,-4,2906,N/A
NQU20,"07/31/2020 14:49",10854.25,10875.5,10854.25,10866.75,12.25,2362,N/A
NQU20,"07/31/2020 14:48",10856,10856.25,10850,10854.5,-1.5,892,N/A
NQU20,"07/31/2020 14:47",10858.5,10860.25,10855,10856,-2.75,769,N/A
NQU20,"07/31/2020 14:46",10854.75,10859.75,10850.75,10858.75,4.5,988,N/A
NQU20,"07/31/2020 14:45",10841.25,10855.75,10838.75,10854.25,13.25,1734,N/A
NQU20,"07/31/2020 14:44",10841.5,10847.25,10839.25,10841,-0.75,1082,N/A
NQU20,"07/31/2020 14:43",10845.25,10847.75,10840.5,10841.75,-4.25,822,N/A
NQU20,"07/31/2020 14:42",10849.75,10854.5,10841,10846,-3.75,1025,N/A
NQU20,"07/31/2020 14:41",10852,10854,10848.25,10849.75,-2.25,665,N/A
NQU20,"07/31/2020 14:40",10844.5,10853.25,10843.75,10852,7.25,865,N/A
NQU20,"07/31/2020 14:39",10849.25,10854,10844.75,10844.75,-4.5,1151,N/A
NQU20,"07/31/2020 14:38",10847,10851,10844.75,10849.25,2.25,755,N/A
NQU20,"07/31/2020 14:37",10854.25,10858,10845,10847,-7,1208,N/A
NQU20,"07/31/2020 14:36",10851.25,10855,10849,10854,2.75,873,N/A
NQU20,"07/31/2020 14:35",10843,10854.25,10843,10851.25,8,952,N/A
NQU20,"07/31/2020 14:34",10848.75,10851,10840.5,10843.25,-4.75,818,N/A
NQU20,"07/31/2020 14:33",10851,10853.5,10844,10848,-3,824,N/A
NQU20,"07/31/2020 14:32",10840.5,10853,10839,10851,10.25,1186,N/A
NQU20,"07/31/2020 14:31",10837.75,10843.5,10837.25,10840.75,2.75,874,N/A
NQU20,"07/31/2020 14:30",10838.5,10846.25,10836,10838,-0.75,1110,N/A
NQU20,"07/31/2020 14:29",10835.75,10842,10832.75,10838.75,3,838,N/A
NQU20,"07/31/2020 14:28",10842.25,10843.25,10831.25,10835.75,-6.25,1054,N/A
NQU20,"07/31/2020 14:27",10853.75,10854,10837.75,10842,-11.25,1018,N/A
NQU20,"07/31/2020 14:26",10843,10855,10841.5,10853.25,10.5,896,N/A
NQU20,"07/31/2020 14:25",10845.5,10845.75,10836.75,10842.75,-3,785,N/A
NQU20,"07/31/2020 14:24",10846,10848,10841.5,10845.75,0,737,N/A
NQU20,"07/31/2020 14:23",10840.25,10849,10836.5,10845.75,5.5,1093,N/A
NQU20,"07/31/2020 14:22",10840.5,10843,10834,10840.25,-0.5,799,N/A
NQU20,"07/31/2020 14:21",10841.5,10845,10838.25,10840.75,-0.75,798,N/A
NQU20,"07/31/2020 14:20",10834.75,10845,10834.5,10841.5,6.25,1346,N/A
NQU20,"07/31/2020 14:19",10830.75,10838,10822.75,10835.25,4.25,1110,N/A
NQU20,"07/31/2020 14:18",10818,10832.75,10816,10831,12.75,931,N/A
NQU20,"07/31/2020 14:17",10821.25,10823.25,10814.25,10818.25,-3,735,N/A
NQU20,"07/31/2020 14:16",10829.25,10834,10820,10821.25,-7,1573,N/A
NQU20,"07/31/2020 14:15",10835.25,10843,10820.25,10828.25,-7,1883,N/A
NQU20,"07/31/2020 14:14",10828.25,10838,10828,10835.25,7.25,1497,N/A
NQU20,"07/31/2020 14:13",10819,10832.75,10818.75,10828,9,1553,N/A
NQU20,"07/31/2020 14:12",10817.25,10820.5,10812.25,10819,2,712,N/A
NQU20,"07/31/2020 14:11",10821.5,10823.25,10811.5,10817,-4.25,1217,N/A
NQU20,"07/31/2020 14:10",10825.25,10826.75,10820.25,10821.25,-4.25,687,N/A
NQU20,"07/31/2020 14:09",10820.75,10826.75,10816.75,10825.5,5,728,N/A
NQU20,"07/31/2020 14:08",10823.5,10825,10817,10820.5,-3.25,982,N/A
NQU20,"07/31/2020 14:07",10824,10829.75,10822,10823.75,-0.25,689,N/A
NQU20,"07/31/2020 14:06",10826.25,10827.5,10820.25,10824,-2.5,1124,N/A
NQU20,"07/31/2020 14:05",10824,10837,10821,10826.5,2.25,3306,N/A
NQU20,"07/31/2020 14:04",10820,10829.25,10813,10824.25,4,2498,N/A
NQU20,"07/31/2020 14:03",10805.75,10820.75,10805.5,10820.25,22,2246,N/A
NQU20,"07/31/2020 14:01",10800.5,10800.5,10794.25,10798.25,-2,412,N/A
NQU20,"07/31/2020 14:00",10800.25,10806.5,10799.25,10800.25,0.25,1069,N/A
NQU20,"07/31/2020 13:59",10800,10802.5,10797.5,10800,0.25,718,N/A
NQU20,"07/31/2020 13:58",10801,10804,10797.75,10799.75,-1.25,684,N/A
NQU20,"07/31/2020 13:57",10802.5,10806.5,10800,10801,-1.25,936,N/A
NQU20,"07/31/2020 13:56",10797,10803.25,10795.25,10802.25,5.25,782,N/A
NQU20,"07/31/2020 13:55",10797.5,10798,10794,10797,-0.25,698,N/A
NQU20,"07/31/2020 13:54",10791.5,10798,10791,10797.25,6.25,1182,N/A
NQU20,"07/31/2020 13:53",10790,10792.25,10785.75,10791,1.5,656,N/A
NQU20,"07/31/2020 13:52",10782.5,10792,10780.5,10789.5,7,1212,N/A
NQU20,"07/31/2020 13:51",10776.5,10782.75,10775,10782.5,6,390,N/A
NQU20,"07/31/2020 13:50",10770.75,10778.75,10770,10776.5,5.5,681,N/A
NQU20,"07/31/2020 13:49",10778.5,10779,10768.75,10771,-7.75,1324,N/A
NQU20,"07/31/2020 13:48",10774.25,10779.75,10773.75,10778.75,4.75,526,N/A
NQU20,"07/31/2020 13:47",10780,10780,10772,10774,-5.25,818,N/A
NQU20,"07/31/2020 13:46",10779.75,10782.25,10777.25,10779.25,-0.5,730,N/A
NQU20,"07/31/2020 13:45",10774.5,10780.75,10771,10779.75,5.75,1021,N/A
NQU20,"07/31/2020 13:44",10772.25,10775,10769,10774,1.5,933,N/A
NQU20,"07/31/2020 13:43",10761.25,10776,10760,10772.5,11.5,1564,N/A
NQU20,"07/31/2020 13:42",10754.5,10761,10753.75,10761,6.75,497,N/A
NQU20,"07/31/2020 13:41",10752.75,10755.25,10749.5,10754.25,2.25,637,N/A
NQU20,"07/31/2020 13:40",10759,10760.5,10750.25,10752,-7.75,809,N/A
NQU20,"07/31/2020 13:39",10760.5,10767.5,10757.25,10759.75,-0.75,1209,N/A
NQU20,"07/31/2020 13:38",10754,10762.25,10753.5,10760.5,6.75,823,N/A
NQU20,"07/31/2020 13:37",10753,10757.75,10752.25,10753.75,0.75,480,N/A
NQU20,"07/31/2020 13:36",10757.5,10759.75,10752.25,10753,-4.75,344,N/A
NQU20,"07/31/2020 13:35",10755.5,10759,10753,10757.75,1.75,496,N/A
NQU20,"07/31/2020 13:34",10756,10756.75,10752.5,10756,0.25,271,N/A
NQU20,"07/31/2020 13:33",10756.5,10757,10751.5,10755.75,-0.75,488,N/A
NQU20,"07/31/2020 13:32",10750.5,10757.25,10748.5,10756.5,5.75,622,N/A
NQU20,"07/31/2020 13:31",10750.5,10752,10746.75,10750.75,0.5,530,N/A
NQU20,"07/31/2020 13:30",10745.5,10751,10741.25,10750.25,5,683,N/A
NQU20,"07/31/2020 13:29",10743.5,10747.25,10742.75,10745.25,1,290,N/A
NQU20,"07/31/2020 13:28",10743,10746,10741.75,10744.25,0.75,317,N/A
NQU20,"07/31/2020 13:27",10742.5,10745.25,10740,10743.5,0.75,288,N/A
NQU20,"07/31/2020 13:26",10741.5,10744.75,10737.25,10742.75,1.25,411,N/A
NQU20,"07/31/2020 13:25",10736.25,10742.5,10734.25,10741.5,5.5,528,N/A
NQU20,"07/31/2020 13:24",10734.75,10739.5,10734.25,10736,1.25,471,N/A
NQU20,"07/31/2020 13:23",10732.75,10735.75,10732,10734.75,2.25,378,N/A
NQU20,"07/31/2020 13:22",10738.5,10739,10730.5,10732.5,-6,629,N/A
NQU20,"07/31/2020 13:21",10727.5,10739,10727.5,10738.5,11.5,595,N/A
NQU20,"07/31/2020 13:20",10722.5,10731,10722.25,10727,5,412,N/A
NQU20,"07/31/2020 13:19",10726.75,10726.75,10719.25,10722,-4.75,599,N/A
NQU20,"07/31/2020 13:18",10725.25,10730.25,10725.25,10726.75,1.25,460,N/A
