Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQU20,"06/30/2020 23:59",10129.25,10129.75,10129,10129.75,0,15,N/A
NQU20,"06/30/2020 23:58",10129,10130.25,10128.75,10129.75,1,28,N/A
NQU20,"06/30/2020 23:57",10129.25,10129.5,10126.25,10128.75,-1,75,N/A
NQU20,"06/30/2020 23:56",10130,10130.5,10128.5,10129.75,0,20,N/A
NQU20,"06/30/2020 23:55",10129,10130.25,10127,10129.75,1.25,89,N/A
NQU20,"06/30/2020 23:54",10130.5,10130.75,10128.25,10128.5,-2,61,N/A
NQU20,"06/30/2020 23:53",10130.25,10131.25,10130,10130.5,0.5,39,N/A
NQU20,"06/30/2020 23:52",10130.25,10130.5,10129,10130,0,27,N/A
NQU20,"06/30/2020 23:51",10131.75,10132.25,10130,10130,-1.75,35,N/A
NQU20,"06/30/2020 23:50",10131,10132.75,10130,10131.75,0,119,N/A
NQU20,"06/30/2020 23:49",10132.75,10133.5,10131.75,10131.75,-1.75,16,N/A
NQU20,"06/30/2020 23:48",10132.5,10133.75,10131.5,10133.5,1.75,24,N/A
NQU20,"06/30/2020 23:47",10133.25,10133.5,10131.75,10131.75,-2.25,28,N/A
NQU20,"06/30/2020 23:46",10134.25,10134.5,10133.5,10134,-1.25,13,N/A
NQU20,"06/30/2020 23:45",10134.75,10135.25,10134,10135.25,0,10,N/A
NQU20,"06/30/2020 23:44",10134.5,10136,10134.5,10135.25,0.75,9,N/A
NQU20,"06/30/2020 23:43",10134.75,10135.5,10134.5,10134.5,-0.5,7,N/A
NQU20,"06/30/2020 23:42",10134,10136.25,10134,10135,1,19,N/A
NQU20,"06/30/2020 23:41",10132.5,10134,10132.25,10134,1,28,N/A
NQU20,"06/30/2020 23:40",10134.25,10135.5,10133,10133,-2.25,34,N/A
NQU20,"06/30/2020 23:39",10134.25,10135.5,10133.75,10135.25,1.25,18,N/A
NQU20,"06/30/2020 23:38",10136.5,10136.5,10133.75,10134,-3,56,N/A
NQU20,"06/30/2020 23:37",10138,10138,10137,10137,-1.25,8,N/A
NQU20,"06/30/2020 23:36",10137,10139.5,10136.5,10138.25,0,26,N/A
NQU20,"06/30/2020 23:35",10136.25,10138.25,10135.25,10138.25,1.75,41,N/A
NQU20,"06/30/2020 23:34",10137.5,10138,10136.5,10136.5,-1.25,15,N/A
NQU20,"06/30/2020 23:33",10138,10138.5,10137.5,10137.75,-1.25,8,N/A
NQU20,"06/30/2020 23:32",10138,10139,10137.25,10139,1.5,8,N/A
NQU20,"06/30/2020 23:31",10137.25,10138.75,10137,10137.5,0.25,18,N/A
NQU20,"06/30/2020 23:30",10137,10138.25,10136.5,10137.25,-0.25,34,N/A
NQU20,"06/30/2020 23:29",10137,10138.5,10137,10137.5,0,16,N/A
NQU20,"06/30/2020 23:28",10137.75,10138.5,10137.5,10137.5,0.25,10,N/A
NQU20,"06/30/2020 23:27",10138,10138.25,10137.25,10137.25,0.25,9,N/A
NQU20,"06/30/2020 23:26",10138.5,10139,10137,10137,-2.25,7,N/A
NQU20,"06/30/2020 23:25",10139.75,10140.75,10139,10139.25,-0.75,14,N/A
NQU20,"06/30/2020 23:24",10140.25,10140.25,10140,10140,-0.75,3,N/A
NQU20,"06/30/2020 23:23",10139.5,10140.75,10139.5,10140.75,1.25,5,N/A
NQU20,"06/30/2020 23:22",10140.5,10141.5,10139.5,10139.5,-0.5,13,N/A
