Time,Open,High,Low,Last,Change,Volume,"Open Int"
"10/30/2020 15:59",11086,11089,11083,11089,2.5,168,N/A
"10/30/2020 15:58",11087,11088.5,11086.5,11086.5,-0.5,48,N/A
"10/30/2020 15:57",11088,11088,11086.75,11087,0,12,N/A
"10/30/2020 15:56",11086,11088.75,11086,11087,0.75,36,N/A
"10/30/2020 15:55",11088,11088.25,11085,11086.25,-2.25,76,N/A
"10/30/2020 15:54",11088.25,11089,11086.25,11088.5,0.5,86,N/A
"10/30/2020 15:53",11088,11088.5,11085.25,11088,-0.75,88,N/A
"10/30/2020 15:52",11091.25,11092.5,11088.75,11088.75,-2.25,102,N/A
"10/30/2020 15:51",11088.25,11091.5,11087,11091,2.25,59,N/A
"10/30/2020 15:50",11089.25,11091,11088,11088.75,-1,77,N/A
"10/30/2020 15:49",11088,11091,11088,11089.75,1.25,73,N/A
"10/30/2020 15:48",11088.25,11088.75,11087.5,11088.5,0.25,35,N/A
"10/30/2020 15:47",11089.25,11089.75,11087.5,11088.25,-1,28,N/A
"10/30/2020 15:46",11089.5,11090.25,11086.75,11089.25,-0.5,80,N/A
"10/30/2020 15:45",11086.25,11091,11084.75,11089.75,4,132,N/A
"10/30/2020 15:44",11084,11086.5,11081,11085.75,1.75,143,N/A
"10/30/2020 15:43",11085.5,11087.75,11083.25,11084,-1.5,127,N/A
"10/30/2020 15:42",11088.5,11089,11085,11085.5,-3,106,N/A
"10/30/2020 15:41",11091.75,11093,11087.25,11088.5,-3.75,136,N/A
"10/30/2020 15:40",11095.25,11097,11088.75,11092.25,-2.5,270,N/A
"10/30/2020 15:39",11087.25,11095.75,11086.25,11094.75,7.5,452,N/A
"10/30/2020 15:38",11082,11087.75,11082,11087.25,5.5,203,N/A
"10/30/2020 15:37",11077,11082.5,11077,11081.75,4.5,147,N/A
"10/30/2020 15:36",11075.75,11077.25,11075.25,11077.25,1.5,120,N/A
"10/30/2020 15:35",11076.75,11079.75,11075,11075.75,-1,179,N/A
