Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQM20,"04/30/2020 23:59",8825.75,8825.75,8822.75,8823.75,-2,38,N/A
NQM20,"04/30/2020 23:58",8823.75,8827,8823.75,8825.75,2,75,N/A
NQM20,"04/30/2020 23:57",8821.5,8824.25,8821.5,8823.75,1.5,52,N/A
NQM20,"04/30/2020 23:56",8822.5,8822.75,8820.75,8822.25,0,21,N/A
NQM20,"04/30/2020 23:55",8823,8824.25,8821.5,8822.25,0.25,54,N/A
NQM20,"04/30/2020 23:54",8824.75,8824.75,8822,8822,-3.25,51,N/A
NQM20,"04/30/2020 23:53",8823.5,8826.25,8822.25,8825.25,2.5,41,N/A
NQM20,"04/30/2020 23:52",8824.25,8825.5,8822.25,8822.75,-2.25,56,N/A
NQM20,"04/30/2020 23:51",8828.25,8828.25,8825,8825,-3.25,57,N/A
NQM20,"04/30/2020 23:50",8831,8831,8827.25,8828.25,-3,19,N/A
NQM20,"04/30/2020 23:49",8828.5,8831.25,8827.75,8831.25,4.5,15,N/A
NQM20,"04/30/2020 23:48",8829.25,8831.25,8826.75,8826.75,-3,31,N/A
NQM20,"04/30/2020 23:47",8828,8829.75,8828,8829.75,1,6,N/A
NQM20,"04/30/2020 23:46",8829,8829,8827.75,8828.75,-0.5,12,N/A
NQM20,"04/30/2020 23:45",8827.25,8831,8826.5,8829.25,2.75,27,N/A
NQM20,"04/30/2020 23:44",8828,8829,8826.25,8826.5,-2.5,31,N/A
NQM20,"04/30/2020 23:43",8828.75,8829.75,8828.75,8829,-0.25,6,N/A
NQM20,"04/30/2020 23:42",8827.5,8831,8827,8829.25,1.25,50,N/A
NQM20,"04/30/2020 23:41",8828,8828.75,8825.25,8828,0,81,N/A
NQM20,"04/30/2020 23:40",8830.75,8831.75,8827.5,8828,-3.75,46,N/A
NQM20,"04/30/2020 23:39",8830.5,8832.75,8829.5,8831.75,0.75,89,N/A
NQM20,"04/30/2020 23:38",8830.5,8832.25,8829.25,8831,0,44,N/A
NQM20,"04/30/2020 23:37",8832.75,8832.75,8831,8831,-2.25,14,N/A
NQM20,"04/30/2020 23:36",8831.25,8833.75,8831.25,8833.25,3.25,46,N/A
NQM20,"04/30/2020 23:35",8828.75,8830,8825,8830,1.25,78,N/A
NQM20,"04/30/2020 23:34",8832.25,8832.25,8827.25,8828.75,-3,42,N/A
NQM20,"04/30/2020 23:33",8827,8832.5,8827,8831.75,5,37,N/A
NQM20,"04/30/2020 23:32",8827.75,8828.5,8826.25,8826.75,-1.25,68,N/A
NQM20,"04/30/2020 23:31",8831.5,8831.5,8828,8828,-4.25,39,N/A
NQM20,"04/30/2020 23:30",8831,8832.25,8830.5,8832.25,0.5,38,N/A
NQM20,"04/30/2020 23:29",8830.25,8832.5,8829.5,8831.75,2.25,75,N/A
NQM20,"04/30/2020 23:28",8830.75,8831.75,8829.5,8829.5,-2.5,41,N/A
NQM20,"04/30/2020 23:27",8827.75,8832,8827.75,8832,4.5,59,N/A
NQM20,"04/30/2020 23:26",8828.25,8829,8826.25,8827.5,-0.5,46,N/A
NQM20,"04/30/2020 23:25",8828,8828.75,8827.25,8828,-0.25,23,N/A
NQM20,"04/30/2020 23:24",8827.75,8828.5,8826,8828.25,1.5,23,N/A
NQM20,"04/30/2020 23:23",8827.5,8828.25,8825.75,8826.75,-1,55,N/A
