Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQH20,"02/28/2020 15:59",8542,8549.5,8542,8548,6,157,N/A
NQH20,"02/28/2020 15:58",8551.25,8551.25,8541.25,8542,-9.75,121,N/A
NQH20,"02/28/2020 15:57",8550,8556,8549.25,8551.75,1.75,97,N/A
NQH20,"02/28/2020 15:56",8553.75,8553.75,8548.5,8550,-5.25,140,N/A
NQH20,"02/28/2020 15:55",8560.25,8565.5,8554.5,8555.25,-2.25,88,N/A
NQH20,"02/28/2020 15:54",8566.75,8567.75,8557.5,8557.5,-8.25,88,N/A
NQH20,"02/28/2020 15:53",8572.5,8574,8558,8565.75,-7.25,252,N/A
NQH20,"02/28/2020 15:52",8571.75,8574.25,8571,8573,1.25,194,N/A
NQH20,"02/28/2020 15:51",8563.75,8571.75,8563,8571.75,11.75,133,N/A
NQH20,"02/28/2020 15:50",8563.25,8564.25,8558,8560,-0.25,78,N/A
NQH20,"02/28/2020 15:49",8558,8563.75,8556.75,8560.25,2.25,229,N/A
NQH20,"02/28/2020 15:48",8561.25,8561.5,8554,8558,-3.5,163,N/A
NQH20,"02/28/2020 15:47",8562,8564.25,8560.25,8561.5,-2.25,95,N/A
NQH20,"02/28/2020 15:46",8562,8564.25,8560,8563.75,2.75,167,N/A
NQH20,"02/28/2020 15:45",8566.25,8566.5,8561,8561,-3.25,131,N/A
NQH20,"02/28/2020 15:44",8564.5,8568.75,8561.25,8564.25,0,165,N/A
NQH20,"02/28/2020 15:43",8562.5,8568,8561.5,8564.25,-0.75,84,N/A
NQH20,"02/28/2020 15:42",8561,8567.75,8561,8565,4.25,132,N/A
NQH20,"02/28/2020 15:41",8547.75,8567.25,8547.75,8560.75,12.25,159,N/A
NQH20,"02/28/2020 15:40",8548.75,8549.5,8542,8548.5,1,95,N/A
NQH20,"02/28/2020 15:39",8542.5,8548.5,8542,8547.5,5,114,N/A
NQH20,"02/28/2020 15:38",8545.5,8546.5,8540.25,8542.5,-4.5,171,N/A
NQH20,"02/28/2020 15:37",8552.25,8556.5,8544.75,8547,-5.5,255,N/A
NQH20,"02/28/2020 15:36",8566.25,8568.5,8546,8552.5,-13.5,390,N/A
NQH20,"02/28/2020 15:35",8552.75,8574.75,8544.75,8566,13,641,N/A
NQH20,"02/28/2020 15:34",8546.25,8553,8537.5,8553,6.75,188,N/A
NQH20,"02/28/2020 15:33",8552.5,8553,8537.25,8546.25,-6,370,N/A
NQH20,"02/28/2020 15:32",8546.5,8553,8545,8552.25,5.25,489,N/A
NQH20,"02/28/2020 15:31",8536,8548.5,8529,8547,9.5,442,N/A
NQH20,"02/28/2020 15:30",8505.25,8541.75,8505.25,8537.5,32.5,1200,N/A
NQH20,"02/28/2020 15:14",8493.75,8506.75,8481,8505,11,1610,N/A
NQH20,"02/28/2020 15:13",8519.5,8523.25,8491.75,8494,-24.5,1567,N/A
NQH20,"02/28/2020 15:12",8523,8523.75,8515.75,8518.5,-4.25,876,N/A
NQH20,"02/28/2020 15:11",8530,8530,8516.75,8522.75,-6.75,1122,N/A
NQH20,"02/28/2020 15:10",8522.25,8529.5,8514,8529.5,6.5,836,N/A
NQH20,"02/28/2020 15:09",8514.5,8526.25,8511.25,8523,8.5,1197,N/A
NQH20,"02/28/2020 15:08",8541.25,8542.25,8508,8514.5,-26.5,1920,N/A
NQH20,"02/28/2020 15:07",8516.5,8543,8516.5,8541,23.5,1897,N/A
NQH20,"02/28/2020 15:06",8505.5,8522.25,8504.25,8517.5,10.75,1564,N/A
NQH20,"02/28/2020 15:05",8509.5,8511.5,8500.5,8506.75,-3,1534,N/A
NQH20,"02/28/2020 15:04",8500.75,8510,8491.25,8509.75,8.5,1317,N/A
NQH20,"02/28/2020 15:03",8519,8525,8490.5,8501.25,-15.75,3207,N/A
NQH20,"02/28/2020 15:02",8495.25,8526.75,8491.75,8517,22.25,3867,N/A
NQH20,"02/28/2020 15:01",8473.25,8499,8468.75,8494.75,21.75,3498,N/A
NQH20,"02/28/2020 15:00",8475.75,8494.25,8444.75,8473,-2.75,5451,N/A
NQH20,"02/28/2020 14:59",8420.75,8478.25,8420,8475.75,54.5,16640,N/A
NQH20,"02/28/2020 14:58",8398,8424.5,8396.25,8421.25,22.75,4804,N/A
NQH20,"02/28/2020 14:57",8384,8398.75,8383,8398.5,14.5,2848,N/A
NQH20,"02/28/2020 14:56",8393.5,8404,8374,8384,-9.75,3375,N/A
NQH20,"02/28/2020 14:55",8372,8397.5,8366.75,8393.75,20.75,3802,N/A
NQH20,"02/28/2020 14:54",8328.75,8373,8324,8373,43.75,3325,N/A
NQH20,"02/28/2020 14:53",8329.25,8332.5,8322,8329.25,-1,1165,N/A
NQH20,"02/28/2020 14:52",8333.25,8335,8321.5,8330.25,-2.5,1263,N/A
NQH20,"02/28/2020 14:51",8310.5,8335,8308.5,8332.75,21,1610,N/A
NQH20,"02/28/2020 14:50",8315.5,8317.75,8292.5,8311.75,-4.5,1780,N/A
NQH20,"02/28/2020 14:49",8292.75,8321.75,8289,8316.25,24.25,2502,N/A
NQH20,"02/28/2020 14:48",8297.75,8303.5,8289.75,8292,-5.5,1366,N/A
NQH20,"02/28/2020 14:47",8302.75,8303.5,8283.25,8297.5,-6.5,1560,N/A
NQH20,"02/28/2020 14:46",8295.75,8309.5,8273,8304,7.5,3552,N/A
NQH20,"02/28/2020 14:45",8241,8299.5,8240.25,8296.5,55.5,2478,N/A
NQH20,"02/28/2020 14:44",8246.75,8250.25,8238.5,8241,-5.5,1571,N/A
NQH20,"02/28/2020 14:43",8250.75,8258.5,8245.75,8246.5,-5,1200,N/A
NQH20,"02/28/2020 14:42",8270,8275.5,8250,8251.5,-18.75,1835,N/A
NQH20,"02/28/2020 14:41",8283.25,8286,8268.5,8270.25,-12.75,1018,N/A
NQH20,"02/28/2020 14:40",8293.75,8301,8275,8283,-9.5,1111,N/A
NQH20,"02/28/2020 14:39",8288.75,8299,8283.75,8292.5,4,1231,N/A
NQH20,"02/28/2020 14:38",8292,8296.5,8281.5,8288.5,-4.25,1331,N/A
NQH20,"02/28/2020 14:37",8281.75,8293,8276,8292.75,11.75,1205,N/A
NQH20,"02/28/2020 14:36",8273.75,8286,8266.25,8281,7.5,1205,N/A
NQH20,"02/28/2020 14:35",8285.5,8287.25,8269.75,8273.5,-13.5,1269,N/A
NQH20,"02/28/2020 14:34",8286.5,8294.25,8273.5,8287,0.5,1568,N/A
NQH20,"02/28/2020 14:33",8302,8302.75,8286.5,8286.5,-16.5,797,N/A
NQH20,"02/28/2020 14:32",8302.25,8307.25,8287.75,8303,-0.25,1191,N/A
NQH20,"02/28/2020 14:31",8280.5,8314.75,8272.25,8303.25,23.75,2103,N/A
NQH20,"02/28/2020 14:30",8256.25,8281,8253.25,8279.5,24.5,1110,N/A
NQH20,"02/28/2020 14:29",8281.75,8282,8255,8255,-26.25,1079,N/A
NQH20,"02/28/2020 14:28",8284.25,8286.25,8271.25,8281.25,-3,797,N/A
NQH20,"02/28/2020 14:27",8286,8289.75,8271,8284.25,-1,860,N/A
NQH20,"02/28/2020 14:26",8294,8296.5,8277.5,8285.25,-8.5,1316,N/A
NQH20,"02/28/2020 14:25",8302.5,8321.25,8292.25,8293.75,-10,833,N/A
NQH20,"02/28/2020 14:24",8309,8312.25,8295,8303.75,-5,827,N/A
NQH20,"02/28/2020 14:23",8302.75,8314.25,8297,8308.75,3.75,888,N/A
NQH20,"02/28/2020 14:22",8328,8328,8298.75,8305,-23.5,1200,N/A
NQH20,"02/28/2020 14:21",8331,8348,8321.75,8328.5,-3.5,1101,N/A
NQH20,"02/28/2020 14:20",8342.75,8353,8330,8332,-12.25,809,N/A
NQH20,"02/28/2020 14:19",8351.75,8356,8340.25,8344.25,-7,539,N/A
