Time,Open,High,Low,Last,Change,Volume,"Open Int"
NQM20,"03/31/2020 23:59",7688.25,7689.5,7686.25,7687.5,-1.25,27,N/A
NQM20,"03/31/2020 23:58",7685.75,7689.5,7685,7688.75,2.5,60,N/A
NQM20,"03/31/2020 23:57",7688.75,7688.75,7686,7686.25,-2.75,31,N/A
NQM20,"03/31/2020 23:56",7688.25,7690.25,7684.75,7689,1,58,N/A
NQM20,"03/31/2020 23:55",7681.5,7688,7681,7688,7,110,N/A
NQM20,"03/31/2020 23:54",7680,7682.5,7678.5,7681,0,45,N/A
NQM20,"03/31/2020 23:53",7677,7681,7677,7681,3.75,32,N/A
NQM20,"03/31/2020 23:52",7676.5,7677.25,7675.25,7677.25,0,21,N/A
NQM20,"03/31/2020 23:51",7678.75,7680.25,7677.25,7677.25,-0.25,21,N/A
NQM20,"03/31/2020 23:50",7676.5,7680.75,7676.5,7677.5,1.5,28,N/A
NQM20,"03/31/2020 23:49",7674.25,7677.75,7674,7676,1.75,32,N/A
NQM20,"03/31/2020 23:48",7674.25,7675.75,7673.75,7674.25,1.25,16,N/A
NQM20,"03/31/2020 23:47",7677.25,7678.5,7671,7673,-3.25,71,N/A
NQM20,"03/31/2020 23:46",7680.5,7680.5,7676.25,7676.25,-4.25,31,N/A
NQM20,"03/31/2020 23:45",7680,7680.5,7676,7680.5,-0.5,61,N/A
NQM20,"03/31/2020 23:44",7680.25,7681,7678.25,7681,1.5,49,N/A
NQM20,"03/31/2020 23:43",7674.75,7681.5,7672,7679.5,5.5,109,N/A
NQM20,"03/31/2020 23:42",7667,7674,7667,7674,5.5,86,N/A
NQM20,"03/31/2020 23:41",7671.75,7672,7663.5,7668.5,-2,96,N/A
NQM20,"03/31/2020 23:40",7673,7673,7667.25,7670.5,-3.5,74,N/A
NQM20,"03/31/2020 23:39",7678.25,7678.75,7672,7674,-5.25,63,N/A
NQM20,"03/31/2020 23:38",7676.75,7679.75,7676,7679.25,2,65,N/A
NQM20,"03/31/2020 23:37",7679.75,7682.75,7677.25,7677.25,-3.25,34,N/A
NQM20,"03/31/2020 23:36",7681.75,7682.75,7679.25,7680.5,-1.75,32,N/A
NQM20,"03/31/2020 23:35",7679.5,7683.75,7678.25,7682.25,4.25,123,N/A
